Time resolution is 1 ps
---- EKF SOC Simulation Started ----
Time=1795000 | SOC=82.64 | V_est=3.492 | V_meas=3.648 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1805000 | SOC=82.66 | V_est=3.492 | V_meas=3.648 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1815000 | SOC=82.67 | V_est=3.492 | V_meas=3.648 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1825000 | SOC=82.69 | V_est=3.492 | V_meas=3.648 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1835000 | SOC=82.70 | V_est=3.492 | V_meas=3.648 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1845000 | SOC=82.72 | V_est=3.492 | V_meas=3.648 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1855000 | SOC=82.73 | V_est=3.492 | V_meas=3.648 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1865000 | SOC=82.75 | V_est=3.492 | V_meas=3.648 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1875000 | SOC=82.77 | V_est=3.492 | V_meas=3.648 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1885000 | SOC=82.78 | V_est=3.492 | V_meas=3.648 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1895000 | SOC=82.80 | V_est=3.492 | V_meas=3.648 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1905000 | SOC=82.81 | V_est=3.492 | V_meas=3.648 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1915000 | SOC=82.83 | V_est=3.492 | V_meas=3.648 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1925000 | SOC=82.84 | V_est=3.492 | V_meas=3.648 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1935000 | SOC=82.86 | V_est=3.492 | V_meas=3.648 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1945000 | SOC=82.88 | V_est=3.492 | V_meas=3.648 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1955000 | SOC=82.89 | V_est=3.492 | V_meas=3.648 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1965000 | SOC=82.91 | V_est=3.492 | V_meas=3.648 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1975000 | SOC=82.92 | V_est=3.492 | V_meas=3.648 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
